cycle_id,total_seed,total_harvested,survival_rate,ABW,total_feed,pond_area,density,biomass_g,biomass_kg
3458,566669,444548.02,78.4493275615924,13.589999999999998,9987.0,4968.0,147.92242093326652,604140759.18,604140.7591799999
3459,566669,440387.88,77.71518823157787,14.322307692307692,10913.0,4968.0,153.37323162779626,630737072.1323076,630737.0721323077
4038,350000,405078.84,100.0,10.585365853658535,7790.6,2700.0,272.5845707458611,370487804.8780488,370487.8048780488
4039,210000,219808.62,100.0,10.88125,3770.5,1030.0,336.42087183462246,228506250.0,228506.25
4044,215858,187493.3,86.85955581910329,12.280714285714286,7182.5,1250.0,467.8880939917408,230255164.7785714,230255.1647785714
4045,227526,200709.32,88.2137953464659,11.851428571428572,7187.5,1310.0,462.95188704940114,237869216.96000004,237869.21696000005
4046,180854,159487.62,88.1858405122364,12.117857142857144,6135.5,1040.0,486.8450883039743,193264819.5214286,193264.8195214286
4047,233360,217574.23,93.23544309221803,11.205384615384617,6561.0,1340.0,436.9567689799783,243800292.9546154,243800.2929546154
4048,265447,234405.1,88.30580115804662,11.722142857142858,8166.0,1540.0,452.357343466965,274773006.86428577,274773.0068642858
4181,100000,83582.0,83.582,5.5,611.98,389.0,286.03879411077355,45970100.0,45970.1
4233,400000,255000.0,63.74999999999999,4.55,2705.0,1000.0,594.5054945054945,116024999.99999997,116024.99999999997
4238,223488,16821.09,7.526618878865979,17.96090909090909,1520.0,2679.0,31.589486013934557,30212206.83,30212.20683
4239,223488,58754.23,26.289657610252004,14.93909090909091,3305.0,2384.0,92.79851845014758,87773478.32636364,87773.47832636363
4241,213316,42468.23,19.908600386281385,15.935454545454546,2870.0,3094.0,58.2099373010569,67675054.8790909,67675.05487909091
4253,168750,132000.0,78.22222222222223,2.0,345.0,16000.0,10.78125,26400000.000000004,26400.000000000004
4309,170000,128450.0,75.55882352941177,17.566666666666666,3207.3,600.0,304.29791271347244,225643833.3333333,225643.8333333333
4442,98544,82365.0,83.5819532391622,11.95,2456.6,2500.0,82.22928870292887,98426175.0,98426.175
4446,100000,76058.0,76.058,8.514,2236.7,2000.0,131.35424007517034,64755781.2,64755.781200000005
4491,90000,52000.0,57.77777777777777,2.5,363.4,625.0,232.576,12999999.999999998,12999.999999999998
4514,108000,107000.0,99.07407407407408,5.375,467.0,625.0,139.0139534883721,57512500.0,57512.5
4515,180000,153000.0,85.0,4.5,683.9,1000.0,151.9777777777778,68850000.0,68850.0
4551,115200,65270.0,56.65798611111112,3.523333333333333,420.0,800.0,149.00662251655626,22996796.66666667,22996.796666666673
4750,43200,45142.85,100.0,10.78,908.0,400.0,210.5751391465677,46569600.0,46569.6
4751,43200,47743.2,100.0,10.51142857142857,916.0,400.0,217.85811361783087,45409371.428571425,45409.37142857142
4887,62000,76500.0,100.0,6.1,858.9,245.0,574.7072599531616,37820000.0,37820.0
4896,70000,56392.0,80.56,4.7,327.95,700.0,99.68085106382978,26504240.0,26504.24
4938,75000,53440.0,71.25333333333333,3.66,383.32,404.0,259.2382189038576,19559040.0,19559.04
4946,200000,117273.0,58.636500000000005,6.994,1551.8,4300.0,51.5990450286292,82020736.2,82020.7362
5222,251376,166915.06,66.40055534338998,17.29,6578.0,1600.0,237.7819548872181,288596138.74,288596.13874
5223,372000,266956.65,71.76254032258065,15.31,10531.0,2400.0,286.60461571957325,408710631.15000004,408710.63115000003
5253,124800,111252.04,89.14426282051282,11.77727272727273,2943.0,1323.0,188.87987460518744,131024561.65454549,131024.56165454548
5258,78000,76506.74,98.0855641025641,12.22181818181818,1879.89,588.0,261.58888875395445,93505146.59636363,93505.14659636363
5435,351750,143317.9,40.74425017768301,5.35,2388.95,1385.0,322.4062890111002,76675076.49999999,76675.07649999998
5437,393750,165105.09,41.93145142857143,4.5200000000000005,3348.0,1938.0,382.2022521164963,74627500.68,74627.50068000001
5438,420000,296101.93,70.50045952380952,5.4775,4212.0,2095.0,367.0472283555313,162189832.1575,162189.8321575
5439,221250,155198.42,70.14617853107346,5.865,2264.0,1096.0,352.2068935476444,91023873.33000001,91023.87333000002
5441,442500,247501.38,55.932515254237295,4.363333333333333,3680.0,2199.0,383.53428932034177,107993102.14000002,107993.10214000002
5442,392000,305399.16000000003,77.90794897959185,5.185,3911.0,1960.0,384.8424615747939,158349464.46,158349.46446000002
5487,338000,224506.72,66.42210650887574,9.807777777777778,5949.9,2700.0,224.68562365469575,220191201.9377778,220191.20193777778
5677,150000,78033.0,52.022,15.868571428571428,2100.0,600.0,220.5617572920418,123827223.42857142,123827.22342857142
5731,100000,79625.0,79.625,7.574285714285715,1360.8,1000.0,179.66050546963407,60310250.00000001,60310.25000000001
5902,70170,59785.04,85.20028502208922,16.790769230769232,1912.9,800.0,142.4071147150449,100383681.00923079,100383.68100923079
5903,70170,58033.8,82.70457460453186,16.408333333333335,1824.9,800.0,139.0223463687151,95223793.50000001,95223.79350000001
5918,77000,74744.34,97.07057142857144,16.660714285714285,2622.5,800.0,196.7577706323687,124529409.32142858,124529.40932142858
5919,77000,33175.03999999999,43.08446753246752,17.85571428571429,1799.6,800.0,125.9820785662853,59236403.56571428,59236.403565714274
5920,76800,43484.100000000006,56.61992187500001,13.8875,1687.0,800.0,151.84518451845184,60388543.87500001,60388.54387500001
5921,76800,50380.4,65.59947916666667,13.9075,1745.2,800.0,156.85781053388462,70066541.3,70066.5413
6126,200000,26950.56,13.475279999999998,16.383333333333333,1518.05,973.0,95.22938254540968,44154000.8,44154.000799999994
