cycle_id,ADG,start_date,end_date,start_weight,end_weight,duration_days
3458.0,0.27025974025974026,2020-04-10,2020-06-26,4.37,25.18,77
3459.0,0.2667857142857143,2020-04-10,2020-07-03,4.18,26.59,84
4038.0,0.28125,2020-05-30,2020-07-09,5.0,16.25,40
4039.0,0.26999999999999996,2020-05-30,2020-07-09,4.9,15.7,40
4044.0,0.2529545454545455,2020-05-08,2020-08-04,2.5,24.76,88
4045.0,0.2560227272727273,2020-05-08,2020-08-04,2.0,24.53,88
4046.0,0.24886363636363634,2020-05-08,2020-08-04,2.0,23.9,88
4047.0,0.22939759036144577,2020-05-08,2020-07-30,2.5,21.54,83
4048.0,0.22124999999999997,2020-05-08,2020-08-04,2.0,21.47,88
4181.0,0.25999999999999995,2020-06-08,2020-06-18,4.2,6.8,10
4233.0,0.15000000000000005,2020-06-21,2020-06-27,4.1,5.0,6
4238.0,0.3664285714285714,2020-05-29,2020-08-07,5.03,30.68,70
4239.0,0.2805714285714286,2020-05-29,2020-08-07,4.6,24.24,70
4241.0,0.3137142857142857,2020-05-29,2020-08-07,4.4,26.36,70
4253.0,,2020-06-02,2020-06-02,2.0,2.0,0
4309.0,0.4685714285714285,2020-06-19,2020-07-24,8.6,25.0,35
4442.0,0.19930232558139535,2020-05-27,2020-07-09,6.9,15.47,43
4446.0,0.1511627906976744,2020-05-27,2020-07-09,5.5,12.0,43
4491.0,,2020-06-24,2020-06-24,2.5,2.5,0
4514.0,0.175,2020-07-08,2020-07-18,4.5,6.25,10
4515.0,0.1111111111111111,2020-07-09,2020-07-18,4.0,5.0,9
4551.0,0.155,2020-06-28,2020-07-12,2.5,4.67,14
4750.0,0.2911627906976744,2020-08-01,2020-09-13,5.08,17.6,43
4751.0,0.2916279069767442,2020-08-01,2020-09-13,4.16,16.7,43
4887.0,0.2823529411764706,2020-08-07,2020-08-24,3.7,8.5,17
4896.0,,2020-08-06,2020-08-06,4.7,4.7,0
4938.0,0.18,2020-07-30,2020-08-19,1.7,5.3,20
4946.0,0.2725,2020-08-19,2020-09-16,2.87,10.5,28
5222.0,0.28903508771929826,2020-08-20,2020-12-12,1.05,34.0,114
5223.0,0.24184210526315789,2020-08-20,2020-12-12,0.83,28.4,114
5253.0,0.3381818181818182,2020-08-25,2020-10-19,2.9,21.5,55
5258.0,0.3618181818181818,2020-08-25,2020-10-19,2.6,22.5,55
5435.0,0.36190476190476195,2020-09-15,2020-10-06,1.87,9.47,21
5437.0,0.3228571428571429,2020-09-15,2020-09-29,2.38,6.9,14
5438.0,0.37285714285714283,2020-09-15,2020-10-06,1.86,9.69,21
5439.0,0.38380952380952377,2020-09-15,2020-10-06,2.39,10.45,21
5441.0,0.2992857142857143,2020-09-15,2020-09-29,2.38,6.57,14
5442.0,0.3495238095238095,2020-09-15,2020-10-06,1.85,9.19,21
5487.0,0.3688888888888888,2020-09-04,2020-10-19,2.3,18.9,45
5677.0,0.4585365853658537,2020-10-07,2020-11-17,5.5,24.3,41
5731.0,0.19428571428571428,2020-09-27,2020-11-15,3.7,13.22,49
5902.0,0.33285714285714285,2020-11-04,2021-02-03,3.04,33.33,91
5903.0,0.3419047619047619,2020-11-04,2021-01-27,3.14,31.86,84
5918.0,0.35890109890109895,2020-11-18,2021-02-17,2.4,35.06,91
5919.0,0.3645054945054945,2020-11-18,2021-02-17,2.1,35.27,91
5920.0,0.312987012987013,2020-11-06,2021-01-22,2.6,26.7,77
5921.0,0.3041558441558442,2020-11-06,2021-01-22,2.58,26.0,77
6319.0,0.32653061224489793,2020-11-18,2021-01-06,3.2,19.2,49
6431.0,,2020-11-04,2020-11-04,5.13,5.13,0
6627.0,0.10307692307692307,2020-12-07,2020-12-20,3.75,5.09,13
6628.0,0.23571428571428574,2020-12-07,2020-12-21,2.4,5.7,14
6952.0,0.08842105263157893,2021-01-06,2021-01-25,3.62,5.3,19
7020.0,,2021-01-10,2021-01-10,4.8,4.8,0
7130.0,,2021-01-20,2021-01-20,5.0,5.0,0
7156.0,0.08333333333333333,2021-01-13,2021-01-19,2.8,3.3,6
7273.0,0.19642857142857142,2021-01-22,2021-03-19,5.0,16.0,56
7276.0,0.19642857142857142,2021-01-22,2021-03-19,5.0,16.0,56
7277.0,0.19642857142857142,2021-01-22,2021-03-19,5.0,16.0,56
7289.0,0.19642857142857142,2021-01-22,2021-03-19,5.0,16.0,56
7293.0,0.19642857142857142,2021-01-22,2021-03-19,5.0,16.0,56
7303.0,0.19642857142857142,2021-01-22,2021-03-19,5.0,16.0,56
7605.0,0.126,2021-03-31,2021-05-30,3.07,10.63,60
7606.0,0.18916666666666668,2021-04-03,2021-06-02,2.53,13.88,60
7615.0,0.226,2021-03-09,2021-04-13,2.67,10.58,35
7616.0,0.1774285714285714,2021-03-09,2021-04-13,3.07,9.28,35
7617.0,0.15685714285714286,2021-03-09,2021-04-13,2.14,7.63,35
7622.0,0.2807142857142857,2021-02-16,2021-04-13,1.64,17.36,56
7876.0,0.26535211267605635,2021-03-12,2021-05-22,2.13,20.97,71
7897.0,0.1,2021-03-10,2021-03-20,4.0,5.0,10
7991.0,0.41510638297872343,2021-03-09,2021-04-25,2.36,21.87,47
7992.0,0.41404255319148936,2021-03-09,2021-04-25,2.81,22.27,47
7993.0,0.46380952380952384,2021-03-09,2021-04-20,2.62,22.1,42
7995.0,0.371063829787234,2021-03-09,2021-04-25,1.44,18.88,47
7996.0,0.4297872340425532,2021-03-09,2021-04-25,2.14,22.34,47
7997.0,0.4294117647058823,2021-03-09,2021-04-12,2.65,17.25,34
